Customer: 1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Pulled: Jun 09 2024 23:00:00 - Jun 14 2024 22:59:59,,,,Total Secs:,216000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Analysis Window: Mon,Tue,Wed,Th,Fri, 20:00 to 8:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Host Name,Model,CPU %Utilization,,,,,,,,,,,,,,Memory %Utilization,,,,,All Network Traffic,,,,,,,,PCoIP Statistics,,,,,,,,,,,,,,NVIDIA %Utilization,,,,,,,,Local Disk (workstation internal drives),,,,,,,,,,,,,,
,,#Cores,"Core
Highest
min","Core
Highest
max","Core
Highest
avg","Core
# oc > 80%","Core 
Total Seconds > 80%","Core 
Total Time > 80%","CPU
Highest
min","CPU
Highest
max","CPU
Highest
avg","
CPU# oc > 80%","
CPU
Total Seconds > 80%","
CPU
% Interval > 80%","
CPU
Total Time > 80%","Total RAM
(GB)",min,max,avg,#oc > 80%,"send min
MB/Sec","send max
MB/Sec","send avg
MB/Sec","receive min
MB/Sec","receive max
MB/Sec","receive avg
MB/Sec","Total MB
Sent","Total MB
Received","tx min
MB/Sec","tx max
MB/Sec","tx avg 
MB/Sec","Total MB
sent","rx min
MB/Sec","rx max
MB/Sec","rx avg
MB/Sec","Total MB
received","rx 
% packet loss
min","rx 
% packet loss
max","rx 
% packet loss
avg","tx 
% packet loss
min","tx 
% packet loss
max","tx 
% packet loss
avg","GPU
min","GPU
max","GPU
avg","GPU
#oc > 80%","MEM
min","MEM
max","MEM
avg","MEM
#oc > 80%","Read MB
min","Read MB
max","Read MB
avg","Write MB
min","Write MB
max","Write MB
avg","Read IOPs
min","Read IOPs
max","Read IOPs
avg","Write IOPs
min","Write IOPs
max","Write IOPs
avg","Free MB
min","Free MB
max","Free MB
avg"
ld71r18u44dws,,24,0.15625,68.83680556,0.748824196,0,0,,0.000954914,34.86255787,0.106895618,0,0,0,,68.41064243,6.224113221,16.33349234,11.8348298,0,0.000619089,0.395935389,0.001017349,0.0000445,0.793529711,0.001377128,832.1846684,1446.80423,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,1,67,28.89076923,0,0,29.70620018,0.019551313,0.003606756,109.4738546,0.210137059,0,1132.811111,0.751994333,0.222222222,3433.177778,8.22363884,1934364.77,1938809.684,1938213.791
ld71r16u15ws,,28,0.069444444,40.29513455,0.696303619,0,0,,0.01860119,22.60356403,0.16420847,0,0,0,,137.1529748,2.943746132,9.652287156,7.021152896,0,0.000665056,0.013483511,0.000880587,0.000109344,0.813379967,0.002048679,632.0265548,1529.862472,0,0,0,0,0,0,0,0,,,0,,,0,0,3,0.005641026,0,1,64,28.42974359,0,0,15.55046858,0.02096903,0.003549867,7.786177422,0.046014517,0,339.6991758,0.479510252,0.3,366.2111111,3.163932731,884350.124,888922.964,888417.2924
ld71r18u44fws,,24,0.347222222,59.07986111,8.990250458,0,0,,0.02025463,16.71947338,1.408925411,0,0,0,,68.41064243,19.63934822,28.35941742,21.61179131,0,0.0006897,0.687409267,0.004255742,5.57222E-05,3.194216189,0.007379626,3757.863342,3770.940366,0,0.025119169,3.09E-05,478.6985612,0,0.000347926,5.28014E-07,106.4083373,0,8.235294118,2.537826423,0,9.879931389,3.454410748,0,8,1.901025641,0,0,71,15.93538462,0,0,18.10455324,0.03274874,0.014569244,36.78694969,0.108585746,0,255.2111111,0.878550387,0.7,1151.955556,6.901548028,1901770.834,1908769.03,1903985.166
ld71r16u13ws,,28,0.260416667,79.47916667,0.624451901,0,0,,0.037822421,70.64050099,0.274482597,0,0,0,,137.1529748,3.721613865,8.983344081,6.579248898,0,0.0002868,0.098065058,0.001041018,0.000107211,1.245409811,0.004605359,859.6917819,2707.836391,0,0.064541574,8.83213E-05,32.56556022,0,0.003282929,5.11059E-06,1.707452139,0,0,0,0,0.307629204,0.102543068,0,8,0.006676939,0,0,83,30.29943503,3,0,57.88659082,0.118496599,0.004414578,40.49448183,0.189726719,0,1266.370369,2.417146439,0.288888889,655.7,6.086874725,870601.1955,883378.0941,874612.6401
ld71r18u44bws,,24,0.15625,35.20833333,1.464138707,0,0,,0.016637731,10.1244213,0.265640442,0,0,0,,68.41064243,16.52170539,29.23308883,18.23871667,0,0.000692244,0.060888244,0.001100188,0.0000474,2.418420722,0.003878159,803.9446746,17003.17031,0,0.056762,0.000185033,243.6390427,0,0.005207267,2.26013E-05,32.39401491,0,0.015380908,0.01013755,0,0.572519084,0.2904813,0,94,0.167692308,1,0,86,28.67025641,1,0,43.66401422,0.027856365,0.006718578,19.68466489,0.100551709,0,289.9555556,0.285014289,0.3,731.7888889,4.821456121,1899614.962,1932172.198,1923397.988
ld71r18u44cws,,24,0.138888889,69.34027778,0.619834851,0,0,,0.021701389,49.90740741,0.12159876,0,0,0,,68.41064243,8.090287422,23.55993962,18.70434439,0,0.000623556,0.047156233,0.000894612,4.43667E-05,2.3717832,0.004572253,1907.100414,2480.107864,0,0,0,0,0,0,0,0,,,0,,,0,0,1,0.006666667,0,1,84,29.48666667,1,0,61.69219982,0.044543985,0.0032256,64.92872249,0.203238772,0,2074.322222,1.373606835,0.311111111,1941.388889,7.400194223,1924167.369,1930461.97,1929268.738
ld71r16u14ws,,28,0.069444444,30.88541667,0.738141466,0,0,,0.035342262,13.71899802,0.166101131,0,0,0,,137.1529748,4.447630916,12.48751777,9.854467404,0,0.000670122,0.140164889,0.000942047,0.000109344,3.73864332,0.00538597,1063.412556,2309.490604,0,0,0,0,0,0,0,0,,,0,,,0,0,2,0.004617753,0,2,58,18.86659826,0,0,27.39330844,0.040036694,0.001774933,37.82966613,0.210241757,0,451.1555556,0.733710985,0.2,770.4222222,9.146817659,872854.5853,885193.1791,882888.1672
ld71r18u44ews,,24,0.277777778,68.15972222,4.990811831,0,0,,0.013020833,42.14916088,1.009326705,0,0,0,,0,6.173424125,25.05390881,11.20676467,0,0.000661522,0.1174056,0.005136028,4.66667E-05,0.863458911,0.006695564,216.7675495,360.6415803,0,0.104847756,0.003337369,132.6490938,0,0.008303689,0.000389927,16.06334548,0,0,0,0,0.111155024,0.0673023,0,37,0.850439883,0,0,68,29.03225806,0,0,19.51769031,0.267735225,0.005563733,5.705130667,0.189202966,0,878.4777778,10.5069817,0.588888889,192.0444444,8.988900281,1885356.425,1887326.7,1887013.065
,,,,,,,,,,,,,,,,,,,,,,,,,,Total(MB):,10072.99154,31608.85382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Avg Total MB/sec:,0.04663422,0.146337286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
