Machine,model,timestamp,operational carbon (gCO2eq),embodied carbon (gCO2eq),duration (seconds),carbon emissions (gCO2eq) - use this for questions about CARBON EMISSIONS,number of cores,core maximum utilisation percent (single core of highest usage),core average utilisation percent (single core of highest usage),core number of occurrences over 80%,core total seconds over 80%,central processing unit maximum utilisation percent,central processing unit average utilisation percent,number of occurrences central processing unit went over 80%,central processing unit total seconds over 80%,total RAM capacity in GB,maximum memory utilisation percent,average memory utilisation percent,number of occurrences GPU memory went over 80%,MB sent across network traffic,MB received across network traffic,graphics processing unit maximum utilisation percent,graphics processing unit average utilisation percent,number of occurrences graphics processing unit went over 80%,graphics processing unit maximum memory utilisation percent,graphics processing unit average memory utilisation percent,number of occurrences GPU memory went over 80%
ld71r18u44dws,z2 mini,2024-06-09,63.1,506.69,216000,569.8,24,67.708,39.816,0,0,28.964,18.081,0,0,68.411,16.446,12.513,0,832.185,1446.804,0,20.123,0,63,29.443,0
ld71r16u15ws,Z4R G4,2024-06-09,347.47,418.89,216000,766.36,28,88.264,24.714,1,120,89.69,89.132,1,120,137.153,9.766,7.368,0,632.027,1529.862,3,13.543,0,67,28.443,0
ld71r18u44fws,z2 mini,2024-06-09,36.73,506.69,216000,543.43,24,76.476,13.923,0,0,25.691,15.375,0,0,68.411,33.193,22.17,0,3757.863,3770.94,46,4.121,0,67,13.453,0
ld71r16u13ws,Z4R G4,2024-06-09,563.75,418.89,216000,982.65,28,63.872,0.46,0,0,97.509,79.129,4,480,137.153,9.107,6.815,0,859.692,2707.836,9,71.005,0,83,31.607,4
ld71r18u44bws,z2 mini,2024-06-09,148.89,506.69,216000,655.58,24,98.208,72.793,3,360,99.716,76.988,4,480,68.411,47.221,19.016,0,803.945,17003.17,95,9.715,3,86,27.532,4
ld71r18u44cws,z2 mini,2024-06-09,82.27,506.69,216000,588.97,24,66.667,19.681,0,0,6.763,4.091,0,0,68.411,24.208,19.807,0,1907.204,2480.276,1,52.006,0,79,28.983,0
ld71r16u14ws,Z4R G4,2024-06-09,165.08,418.89,216000,583.97,28,83.594,79.683,2,240,85.897,30.136,2,240,137.153,12.488,10.241,0,1063.413,2309.491,1,14.003,0,36,18.185,0
ld71r18u44ews,z2 mini,2024-06-09,85.78,506.69,216000,592.47,24,43.656,38.389,0,0,39.781,18.821,0,0,0.0,10.411,7.935,0,216.133,360.314,0,37.165,0,45,29.283,0
