Machine,model,timestamp,operational carbon (gCO2),embodied carbon (gCO2),duration (seconds),carbon emissions (g/Co2),number of cores (central processing unit % utilization),core maximum (central processing unit % utilization),core average (central processing unit % utilization),core number of occurrences over 80% (central processing unit % Utilization),core total seconds over 80% (central processing unit % utilization),central processing unit Maximum (central processing unit % utilization),central processing unit average (central processing unit % utilization),central processing unit number of occurrences over 80% (central processing unit % utilization),central processing unit total seconds over 80% (central processing unit % utilization),total RAM GB (memory % utilization),maximum (memory % utilization),average (memory % utilization),number of occurrences over 80% (memory % utilization),total MB sent (All Network Traffic),total MB received (All Network Traffic),graphics processing unit minimum (NVIDIA % utilization),graphics processing unit maximum (NVIDIA % utilization),graphics processing unit average (NVIDIA % Utilization),graphics processing unit number of occurrences over 80% (NVIDIA % utilization),graphics processing unit memory maximum (NVIDIA % utilization),graphics processing unit memory average (NVIDIA % utilization),GPU memory number of occurrences over 80% (NVIDIA % utilization)
ld71r18u44dws,z2 mini,2024-06-09,1.481,0.507,216000,1.988,24,68.837,0.749,0,0,34.863,0.107,0,0,68.410642432,16.33349233798933,11.83482979649345,0,832.1846683778874,1446.804229656907,0,0,0.0,0,67,28.89076923076918,0
ld71r16u15ws,Z4R G4,2024-06-09,0.528,0.419,216000,0.947,28,40.295,0.696,0,0,22.604,0.164,0,0,137.152974848,9.652287156491852,7.021152895870969,0,632.0265548067528,1529.862472338883,0,3,0.006,0,64,28.42974358974361,0
ld71r18u44fws,z2 mini,2024-06-09,4.834,0.507,216000,5.34,24,59.08,8.99,0,0,16.719,1.409,0,0,68.410642432,28.35941742146977,21.61179130912394,0,3757.863341558264,3770.940366416131,0,8,1.901,0,71,15.93538461538465,0
ld71r16u13ws,Z4R G4,2024-06-09,0.871,0.419,216000,1.29,28,79.479,0.624,0,0,70.641,0.274,0,0,137.152974848,8.983344081055975,6.579248898173702,0,859.6917818945999,2707.836391279287,0,8,0.007,0,83,30.29943502824854,3
ld71r18u44bws,z2 mini,2024-06-09,0.663,0.507,216000,1.17,24,35.208,1.464,0,0,10.124,0.266,0,0,68.410642432,29.23308883099367,18.23871667406782,0,803.9446746331784,17003.17031116769,0,94,0.168,1,86,28.67025641025644,1
ld71r18u44cws,z2 mini,2024-06-09,0.212,0.507,216000,0.719,24,69.34,0.62,0,0,49.907,0.122,0,0,68.410642432,23.55993961615074,18.70434439128427,0,1907.100414240825,2480.107864107751,0,1,0.007,0,84,29.48666666666664,1
ld71r16u14ws,Z4R G4,2024-06-09,0.53,0.419,216000,0.948,28,30.885,0.738,0,0,13.719,0.166,0,0,137.152974848,12.48751777420871,9.854467404098585,0,1063.412555656252,2309.490603607732,0,2,0.005,0,57.99999999999999,18.86659825551568,0
ld71r18u44ews,z2 mini,2024-06-09,2.797,0.507,216000,3.304,24,68.16,4.991,0,0,42.149,1.009,0,0,0,25.05390880525155,11.20676467407934,0,216.7675495406835,360.641580261303,0,37,0.85,0,68,29.03225806451613,0
total carbon emissions in g/co2,,,,,,15.706000000000001,,,,,,,,,,,,,,,,,,,,,,
